ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
315;Alice Moura;1988-1-22;F;Setúbal;Trabalhador dos serviços pessoais
316;Luciana Valente;1978-2-28;F;Porto;Motorista de veículos pesados e de autocarros
317;Wilson Figueiredo;1971-3-31;M;Braga;Técnico das ciências físicas e de engenharia
318;Jorge Correia;1951-11-22;M;Lisboa;Operador de instalações, da extracção mineira e de processamento de minerais
319;Denis Neto;1970-4-25;M;Faro;Profissional de nível intermédio da medicina tradicional e complementar
320;Margarida Moreira;1991-1-17;F;Braga;Trabalhador qualificado da floresta e similares
321;Miguel Barbosa;1967-2-20;M;Braga;Médico
322;Bryan Domingues;1952-5-10;M;Braga;Assistente na preparação de refeições
323;David Alves;1980-3-18;M;Braga;Técnico de nível intermédio da área financeira e matemática
324;Bernardo Magalhães;1984-6-16;M;Lisboa;Engenheiro Informático
325;Alexandre Gomes;1998-6-27;M;Lisboa;Trabalhador relacionado com vendas
326;Valentina Magalhães;1962-11-5;F;Braga;Profissional de nível intermédio da saúde
327;Adriana Neves;1951-7-15;F;Porto;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
328;Leandro Ferreira;1980-12-31;M;Setúbal;Director de produção na agricultura, produção animal, floresta e pesca
329;Irina-Sofia Leal;1994-4-25;F;Braga;Vendedor ambulante e em mercados
330;Frederico Almeida;1976-5-5;M;Setúbal;Técnico e profissões afins das ciências da vida, de nível intermédio
331;Ângelo do Correia;1981-10-24;M;Faro;Outro pessoal de apoio de tipo administrativo
332;Valentim Castro;1975-1-8;M;Porto;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
333;Rodrigo Correia-Almeida;1982-1-12;M;Braga;Analista e programador, de software, Web e de aplicações
334;Bianca do Nogueira;1984-1-3;F;Lisboa;Director dos serviços das tecnologias da informação e comunicação (TIC)
335;Luciana Santos;1969-3-30;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
336;Luna Domingues;1992-2-5;F;Setúbal;Professor dos ensinos universitário e superior
337;Débora Assunção;1957-4-28;F;Faro;Operador de máquinas do fabrico de produtos alimentares e similares
338;Ema Araújo;1988-12-27;F;Braga;Especialista em base de dados e redes
339;Letícia Azevedo;1996-1-25;F;Braga;Especialista em assuntos jurídicos
340;Afonso Ferreira-Andrade;1993-5-21;M;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
341;Simão Macedo;1957-12-3;M;Setúbal;Outro pessoal das Forças Armadas
342;Luana Brito;1995-12-8;F;Braga;Especialista em assuntos jurídicos
343;Isabel-Carolina Azevedo;1951-11-24;F;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
344;Camila Gonçalves-Gonçalves;1963-7-18;F;Porto;Tripulante de convés de navios e similares
345;Luana de Pacheco;1966-2-4;F;Lisboa;Empregado de mesa e bar
346;Fernando Sá;1978-2-20;M;Porto;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
347;Carminho-Jéssica Martins;1958-1-18;F;Faro;Auxiliar de enfermagem e parteiras
348;Leonardo Baptista;2002-3-17;M;Porto;Motorista de veículos pesados e de autocarros
349;Samuel Ribeiro;1979-11-4;M;Faro;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
350;António Nascimento;1968-11-6;M;Porto;Especialista em base de dados e redes
351;Bernardo Figueiredo;1999-7-19;M;Lisboa;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
352;Ricardo Nascimento;1968-2-8;M;Lisboa;Operador de máquinas do fabrico de produtos alimentares e similares
353;Tatiana Marques;1963-8-24;F;Faro;Técnico das telecomunicações e da radiodifusão
354;Inês Nunes;1990-3-11;F;Porto;Agente de compras, de vendas e corretores comerciais
355;Helena Teixeira;1952-6-14;F;Porto;Operador de processamento de texto e dados
356;Leandro Cruz;1989-2-11;M;Braga;Forjador, serralheiro mecânico e similar
357;Patrícia Gonçalves;1982-3-15;F;Porto;Pescador, caçador e colector, de subsistência
358;Constança Simões;1972-3-15;F;Porto;Encarregado das indústrias extractiva, transformadora e construção
359;Salomé Moura;1985-6-24;F;Faro;Director de serviços especializados
360;Valentim Pinheiro;1985-1-19;M;Lisboa;Trabalhador não qualificado da indústria transformadora
361;Kévim Cardoso;1984-11-6;M;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
362;Gonçalo Vicente;1975-8-12;M;Porto;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
363;Diana Anjos-Magalhães;1960-5-19;F;Setúbal;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
364;Letícia Teixeira;1985-5-4;F;Setúbal;Sargento das Forças Armadas
365;Ema Fernandes;1964-3-9;F;Faro;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
366;Yasmin da Lopes;1966-6-7;F;Lisboa;Agricultor de subsistência
367;Kelly Brito;1969-2-11;F;Faro;Motorista de veículos pesados e de autocarros
368;Luís Lima;1956-4-19;M;Lisboa;Trabalhador qualificado da transformação de alimentos
369;Diogo do Freitas;1961-7-24;M;Faro;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
370;Emma Lopes-Nogueira;1983-4-16;F;Braga;Veterinário
371;Gabriel Costa-Castro;1970-6-26;M;Braga;Vendedor ambulante (excepto de alimentos)
372;Simão Lourenço;1953-9-9;M;Faro;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
373;Madalena Baptista;1959-7-29;F;Faro;Motorista de veículos pesados e de autocarros
374;Anita Garcia;1990-7-13;F;Faro;Operador de máquinas do fabrico de produtos alimentares e similares
375;Bernardo Torres;1966-2-6;M;Faro;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
376;Filipa Campos;1956-3-30;F;Porto;Forjador, serralheiro mecânico e similar
377;Francisco Esteves;1978-7-30;M;Setúbal;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
378;Simão Ramos-Morais;1997-1-14;M;Lisboa;Trabalhador dos serviços pessoais
379;Ivo Castro;1981-7-6;M;Braga;Pescador, caçador e colector, de subsistência
380;Lisandro Batista;1985-3-29;M;Porto;Especialista em ciências sociais e religiosas
381;Emília Assunção;1951-2-24;F;Lisboa;Técnico de nível intermédio da área financeira e matemática
382;Joaquim Costa;1963-4-28;M;Porto;Trabalhador qualificado em acabamentos da construção e similares
383;Márcio Simões;1970-6-20;M;Setúbal;Profissional paramédico
384;Marco Lourenço;1972-8-24;M;Braga;Engenheiro Informático
385;Noa Correia;1996-5-31;M;Lisboa;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
386;Lúcia Mendes;1950-11-2;F;Faro;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
387;Filipa de Tavares;1991-12-12;F;Setúbal;Outro pessoal de apoio de tipo administrativo
388;Eduardo Abreu;1952-7-9;M;Braga;Professor dos ensinos universitário e superior
389;Eduarda Cruz;1985-9-25;F;Faro;Auxiliar de educadores de infância e de professores
390;Micael da Azevedo;1960-5-5;M;Lisboa;Técnico de operação e controlo de processos industriais
391;Filipa-Carlota Castro;1957-6-4;F;Porto;Técnico da medicina e farmácia
392;Nuno Castro;1992-12-22;M;Faro;Trabalhador de cuidados pessoais nos serviços de saúde
393;Fabiana-Núria Vaz;1953-8-23;F;Faro;Profissional paramédico
394;Constança da Miranda;1951-4-6;F;Setúbal;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
395;Ana Melo;1960-12-22;F;Setúbal;Oficial das Forças Armadas
396;Tiago Fonseca;1978-2-13;M;Braga;Outro pessoal das Forças Armadas
397;Martim Pinho;1970-6-11;M;Porto;Professor dos ensinos básico (1º ciclo) e educador de infância
398;Marco Carneiro;1982-4-10;M;Lisboa;Agricultor e criador de animais de produção combinada, de subsistência
399;Dinis Freitas;1979-12-15;M;Porto;Caixa, penhorista e similares
400;David Fernandes;1978-8-8;M;Setúbal;Trabalhador da montagem
401;Madalena Neto;1991-8-9;F;Lisboa;Técnico das ciências físicas e de engenharia
402;Juliana Lourenço;1962-10-6;F;Setúbal;Especialista em engenharia (excepto electrotecnologia)
403;Guilherme Barbosa;1974-12-29;M;Braga;Operador de caixa e venda de bilhetes
404;Rafael Freitas;1962-1-8;M;Faro;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
405;Eduardo Sousa;1994-1-8;M;Faro;Professor dos ensinos, tecnológico, artístico e profissional
406;Tomás Matos;1978-3-28;M;Braga;Pessoal de recepção e de informação a clientes
407;Hugo Lima;1977-1-9;M;Setúbal;Especialista em engenharia (excepto electrotecnologia)
408;Eduarda Matias;1986-6-24;F;Porto;Director de serviços de negócios e de administração
409;Valentina Figueiredo-Figueiredo;1952-11-26;F;Setúbal;Professor dos ensinos básico (1º ciclo) e educador de infância
410;Gabriel Macedo;1954-8-21;M;Setúbal;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
411;Mauro Alves;1984-11-5;M;Faro;Trabalhador não qualificado da indústria extractiva e construção
412;Helena Barros;1997-9-14;F;Setúbal;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
413;Íris Amorim;1960-8-12;F;Setúbal;Operador de caixa e venda de bilhetes
414;Joel Pinto;1969-2-12;M;Lisboa;Assistente na preparação de refeições
415;Xavier Figueiredo-Amorim;1951-9-13;M;Faro;Sargento das Forças Armadas
416;Jéssica Ribeiro-Cruz;1989-10-4;F;Setúbal;Instalador e reparador de equipamento eléctrico
417;Inês Vicente;1969-7-20;F;Lisboa;Especialista em ciências sociais e religiosas
418;Nicole Silva;1987-5-13;F;Faro;Profissional de enfermagem
419;Lucas Loureiro;1973-5-26;M;Braga;Pessoal de recepção e de informação a clientes
420;Emília Neto-Rodrigues;1957-11-8;F;Lisboa;Engenheiro Informático
421;Enzo Brito;1968-7-28;M;Setúbal;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
422;Gabriel Castro;1983-5-24;M;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
423;Juliana-Leonor Sá;1968-8-8;F;Faro;Médico
424;Sérgio Ramos;1984-2-2;M;Lisboa;Técnico de nível intermédio da área financeira e matemática
425;Mélanie Amaral;1987-11-12;F;Faro;Operador de equipamentos móveis
426;Amélia Jesus;1977-6-4;F;Porto;Trabalhador da recuperação de resíduos
427;Lorena-Vera Lopes;1981-7-8;F;Porto;Trabalhador não qualificado de apoio, aos transportes e armazenagem
428;Duarte Sousa;1950-11-18;M;Porto;Técnico das telecomunicações e da radiodifusão
429;Diana de Pinheiro;1964-10-12;F;Faro;Trabalhador de outros ofícios
430;Anita-Luciana Matias;1985-3-5;F;Porto;Técnico de nível intermédio dos serviços jurídicos, sociais e religiosos
431;Rafael Moreira;1952-9-19;M;Porto;Técnico e assistente de veterinários
432;Frederico Pires;1998-3-24;M;Faro;Operador de processamento de texto e dados
433;Kyara do Nascimento;1951-8-12;F;Porto;Mecânico e reparador de máquinas e de veículos
434;Bruno Andrade;1963-4-24;M;Setúbal;Trabalhador qualificado da floresta e similares
435;Emília-Érica Guerreiro;1987-8-7;F;Braga;Outro pessoal das Forças Armadas
436;Joel Nascimento;1966-12-30;M;Setúbal;Técnico e assistente de veterinários
437;Erica-Íris Simões;1985-6-3;F;Braga;Prestador de serviços na rua
438;Diego Vieira;1975-2-18;M;Setúbal;Operador de instalações de transformação e acabamento, de metais
439;Pedro Carvalho;1960-12-3;M;Faro;Trabalhador não qualificado de apoio, aos transportes e armazenagem
440;Pedro Carvalho;1965-10-13;M;Setúbal;Professor dos ensinos, tecnológico, artístico e profissional
441;Tomás Simões-Fernandes;1989-1-23;M;Faro;Técnico operacional e controlador dos transportes marítimo e aéreo
442;Enzo Alves;1982-6-8;M;Lisboa;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
443;Ana-Luana Leal;1981-1-21;F;Braga;Trabalhador qualificado da construção das estruturas básicas e similares
444;Mara de Henriques;1980-2-26;F;Setúbal;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
445;Dinis Monteiro;1959-5-12;M;Setúbal;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
446;Carlota do Santos;1984-6-11;F;Porto;Especialista em organização administrativa
447;Rúben Brito;1982-6-22;M;Lisboa;Director e gerente de outros serviços
448;Andreia Alves;1988-12-28;F;Lisboa;Técnico de operação e controlo de processos industriais
449;Bernardo Almeida;1986-7-7;M;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
450;Edgar Mendes;1990-11-7;M;Faro;Profissional de nível intermédio da medicina tradicional e complementar
451;Andreia Pinto;1982-7-27;F;Setúbal;Maquinista de locomotivas e similares
452;Sebastião de Costa;1950-12-16;M;Faro;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
453;Lia Araújo;1977-5-30;F;Faro;Vendedor em lojas
454;Hugo Gonçalves;1988-10-27;M;Braga;Vendedor ambulante e em mercados
455;Lourenço Miranda;1991-10-18;M;Braga;Oficial das Forças Armadas
456;Xavier Magalhães-Amorim;1968-10-5;M;Porto;Vendedor em lojas
457;Sandro Esteves;1958-3-18;M;Lisboa;Instalador e reparador de equipamento eléctrico
458;Clara-Juliana Maia;1993-8-19;F;Setúbal;Trabalhador qualificado da transformação de alimentos
459;Mélanie do Garcia;1986-10-14;F;Setúbal;Médico
460;Kevin Vaz;1984-2-26;M;Lisboa;Trabalhador não qualificado da indústria extractiva e construção
461;Leonardo do Santos;1983-6-17;M;Setúbal;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
462;Mara Moura;1983-4-7;F;Porto;Autor, jornalista e linguista
463;Frederico Domingues;1978-3-19;M;Faro;Empregado de escritório em geral
464;Ariana Cunha;1982-2-26;F;Lisboa;Profissional paramédico
465;Yasmin Oliveira;1966-2-2;F;Braga;Director e gerente do comércio a retalho e por grosso
466;Margarida Carneiro;1968-1-16;F;Lisboa;Trabalhador relacionado com vendas
467;Salvador Leite;1984-2-27;M;Faro;Produtor e trabalhador qualificado na criação animal
468;Mauro Lima-Marques;1980-11-12;M;Lisboa;Especialista do ensino
469;Bárbara da Correia;1982-12-30;F;Lisboa;Empregado de escritório em geral
470;Gaspar Fonseca;1969-1-13;M;Lisboa;Técnico das telecomunicações e da radiodifusão
471;Anita-Lara Pereira;1970-11-4;F;Faro;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
472;Leonardo Silva-Esteves;1974-9-26;M;Lisboa;Operador de instalações fixas e máquinas
473;Alexandra Barros;1991-6-28;F;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
474;Rafael Sousa;1991-9-10;M;Braga;Encarregado das indústrias extractiva, transformadora e construção
475;Lisandro Martins;1968-2-27;M;Braga;Professor dos ensinos básico (2º e 3º ciclos) e secundário
476;Alexandra Sousa;1953-6-23;F;Lisboa;Matemático, actuário, estaticista e demógrafo
477;Sebastião da Lima;1961-2-22;M;Faro;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
478;Denis Valente;1956-9-4;M;Braga;Sargento das Forças Armadas
479;Ema Figueiredo;1970-1-10;F;Setúbal;Agricultor de subsistência
480;André Correia-Jesus;1951-12-25;M;Porto;Maquinista de locomotivas e similares
481;César da Soares;1963-11-10;M;Lisboa;Especialista em engenharia (excepto electrotecnologia)
482;Benedita Martins;1970-9-29;F;Setúbal;Empregado de mesa e bar
483;Gabriel Branco;1962-9-10;M;Faro;Professor dos ensinos básico (1º ciclo) e educador de infância
484;Isaac Gomes;1989-12-1;M;Setúbal;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
485;Jorge Neto-Pinho;1972-11-5;M;Lisboa;Vendedor em lojas
486;Diego Pinto;1983-10-14;M;Setúbal;Especialista em base de dados e redes
487;Eduardo de Anjos;1979-2-6;M;Porto;Cabeleireiro, esteticista e similares
488;Rafael Maia-Silva;1970-4-18;M;Setúbal;Trabalhador qualificado da transformação de alimentos
489;Adriana Anjos;1983-11-26;F;Lisboa;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
490;Melissa Cunha;1985-1-30;F;Faro;Agente de negócios
491;Mara Branco;1952-10-19;F;Lisboa;Trabalhador não qualificado da indústria extractiva e construção
492;Gaspar Domingues;1982-10-25;M;Porto;Especialista em ciências da vida
493;Mélanie Lourenço;1963-11-11;F;Faro;Técnico de atividade física e de desporto
494;Clara Almeida;1963-8-20;F;Braga;Operador de instalações, da extracção mineira e de processamento de minerais
495;Ismael Pires;1970-2-24;M;Setúbal;Especialista em assuntos jurídicos
496;Mia Neves;1954-3-13;F;Setúbal;Bibliotecário, arquivista e curador de museus e similares
497;Micael Amaral;1985-2-8;M;Lisboa;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
498;Érica Rocha;1956-9-15;F;Setúbal;Especialista em assuntos jurídicos
499;Tiago Marques;1950-3-2;M;Braga;Pessoal dos serviços de protecção e segurança
500;Renata Miranda;1989-7-15;F;Faro;Auxiliar de educadores de infância e de professores
501;Álvaro Ferreira;2000-2-18;M;Setúbal;Trabalhador relacionado com vendas
502;Diana da Monteiro;1961-2-3;F;Faro;Trabalhador de cuidados pessoais nos serviços de saúde
503;Joana Azevedo;1954-6-26;F;Setúbal;Especialista em engenharia (excepto electrotecnologia)
504;Carminho Carvalho;1952-4-26;F;Faro;Especialista em vendas, marketing e relações públicas
505;Bianca Monteiro;1958-6-3;F;Lisboa;Especialista em ciências sociais e religiosas
506;Márcio Loureiro;1994-7-16;M;Braga;Operador de máquinas do fabrico de produtos alimentares e similares
507;Anita Figueiredo;1975-5-19;F;Lisboa;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
508;Isabel Mota;1954-1-18;F;Porto;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
509;Yasmin Pinheiro;1968-12-4;F;Faro;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
510;Helena Antunes;1983-2-13;F;Setúbal;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
511;Carlota Moura;1970-3-6;F;Setúbal;Motorista de veículos pesados e de autocarros
512;Lorena Esteves;1999-2-13;F;Faro;Assistente na preparação de refeições
513;Joel Araújo;1973-3-5;M;Setúbal;Director dos serviços das tecnologias da informação e comunicação (TIC)
514;Simão Macedo;1956-1-16;M;Lisboa;Tripulante de convés de navios e similares
515;Luís Cardoso;1995-5-26;M;Braga;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
516;Bryan Matos;1995-5-15;M;Braga;Director e gerente de outros serviços
517;Maria Mendes;1969-1-7;F;Setúbal;Tripulante de convés de navios e similares
518;Lourenço Monteiro-Amorim;1975-10-25;M;Lisboa;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
519;Sandro do Pacheco;1965-8-24;M;Setúbal;Criador de animais de subsistência
520;Anita Henriques;1960-11-19;F;Faro;Auxiliar de educadores de infância e de professores
521;Alexandra Vaz;1988-10-3;F;Braga;Pessoal de recepção e de informação a clientes
522;Lourenço Mendes;1951-3-31;M;Braga;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
523;Gabriel Gomes;1989-5-10;M;Faro;Trabalhador dos serviços pessoais
524;Luna Nunes-Rocha;1993-9-24;F;Faro;Operador de máquinas do fabrico de produtos alimentares e similares
525;Jaime Martins-Castro;1965-8-11;M;Braga;Auxiliar de educadores de infância e de professores
526;Renata Domingues;1987-10-12;F;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
527;Bruno Neves;1997-12-28;M;Lisboa;Vendedor em lojas
528;Erika-Emília Castro;1959-7-28;F;Porto;Trabalhador relacionado com vendas
529;Soraia do Barbosa;1982-1-5;F;Faro;Operador de caixa e venda de bilhetes
530;Wilson Nunes;1985-11-16;M;Setúbal;Empregado de mesa e bar
531;Valentina-Matilde Carneiro;1971-7-26;F;Faro;Director e gerente de outros serviços
532;Eva Pinto;1986-11-20;F;Setúbal;Autor, jornalista e linguista
533;Sérgio Sá;2001-9-10;M;Lisboa;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
534;Adriana Nunes-Mota;1957-4-29;F;Setúbal;Operador de instalações, da extracção mineira e de processamento de minerais
535;Rui Melo;1953-11-25;M;Braga;Especialista em medicina tradicional e alternativa
536;Mélanie Sá;1967-4-15;F;Setúbal;Agricultor de subsistência
537;Bruna do Pinheiro;1997-7-24;F;Faro;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
538;Ângela Jesus-Ribeiro;1965-5-3;F;Porto;Motorista de veículos pesados e de autocarros
539;Leonardo Ramos;1996-5-30;M;Braga;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
540;Benjamim Batista;1971-8-30;M;Lisboa;Vendedor ambulante e em mercados
541;Sérgio Figueiredo;1956-1-12;M;Faro;Pessoal de recepção e de informação a clientes
542;Beatriz Freitas-Andrade;1950-5-21;F;Porto;Vendedor ambulante (excepto de alimentos)
543;Carlota Nogueira;1993-4-14;F;Porto;Director de produção na agricultura, produção animal, floresta e pesca
544;Denis Azevedo;1992-2-17;M;Setúbal;Trabalhador da impressão
545;Mário Oliveira;1953-5-9;M;Porto;Arquitecto, urbanista e designer
546;Madalena Pinto;1996-3-19;F;Porto;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
547;Bruno Magalhães;1965-5-15;M;Porto;Director e gerente do comércio a retalho e por grosso
548;Erica Matias;1990-1-29;F;Lisboa;Técnico de secretariado
549;Júlia do Marques;1996-9-10;F;Faro;Técnico das ciências físicas e de engenharia
550;Alexandra Castro;1953-7-25;F;Faro;Motorista de veículos pesados e de autocarros
551;Fábio Rocha;1980-4-28;M;Lisboa;Director de produção na agricultura, produção animal, floresta e pesca
552;Renata Alves-Magalhães;1981-2-18;F;Lisboa;Trabalhador de outros ofícios
553;Artur Cunha-Reis;1951-10-23;M;Braga;Técnico das ciências físicas e de engenharia
554;Luísa Cruz;1997-8-28;F;Faro;Mecânico e reparador de máquinas e de veículos
555;Bryan Nogueira;1989-1-10;M;Lisboa;Director de produção na agricultura, produção animal, floresta e pesca
556;Débora Mendes;1964-6-23;F;Setúbal;Técnico e profissões afins das ciências da vida, de nível intermédio
557;Luísa Fonseca-Fernandes;1995-7-10;F;Braga;Médico
558;Vítor Henriques-Nascimento;1979-7-11;M;Lisboa;Trabalhador qualificado em acabamentos da construção e similares
559;Flor da Castro;1989-10-28;F;Porto;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
560;Ismael Lima;1950-9-13;M;Setúbal;Instalador e reparador de equipamento eléctrico
561;Larissa Miranda;1971-1-12;F;Braga;Trabalhador dos serviços pessoais
562;Rafaela-Alexandra Vieira;1984-4-25;F;Lisboa;Agricultor de subsistência
563;David Vaz;1967-6-26;M;Porto;Forjador, serralheiro mecânico e similar
564;Jaime Vicente;1972-1-9;M;Lisboa;Trabalhador da montagem
565;Mafalda Nogueira;1974-8-18;F;Setúbal;Físico, químico e especialista relacionado
566;Constança Freitas;1967-12-22;F;Porto;Pessoal de recepção e de informação a clientes
567;Iara Vieira;1989-4-15;F;Braga;Auxiliar de enfermagem e parteiras
568;Luna Neves;1972-11-3;F;Porto;Pessoal dos serviços de protecção e segurança
569;Joel Torres;1951-8-30;M;Braga;Professor dos ensinos, tecnológico, artístico e profissional
570;Leonardo Valente;1968-5-30;M;Setúbal;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
571;Rodrigo da Andrade;1997-12-28;M;Faro;Artista criativo e das artes do espectáculo
572;Yasmin Andrade;1963-1-23;F;Porto;Outro pessoal de apoio de tipo administrativo
573;Isabela Morais;1963-9-25;F;Braga;Especialista em finanças e contabilidade
574;Guilherme Anjos;1988-12-10;M;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
575;Nair Melo;1998-7-17;F;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
576;Marta Brito-Soares;1977-11-29;F;Porto;Artista criativo e das artes do espectáculo
577;Margarida Pinho;1979-3-19;F;Lisboa;Técnico e profissões afins das ciências da vida, de nível intermédio
578;Beatriz-Alícia Cruz;1959-3-22;F;Setúbal;Autor, jornalista e linguista
579;Bruna-Joana Oliveira;1975-8-18;F;Setúbal;Director e gerente de hotelaria e restauração
580;Joaquim Carvalho;1977-3-18;M;Braga;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
581;Rafaela Leite;1955-5-1;F;Braga;Agente de compras, de vendas e corretores comerciais
582;José Lopes;1963-2-15;M;Porto;Director de serviços de negócios e de administração
583;Rui Antunes;1968-7-19;M;Lisboa;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
584;Pilar Cruz;1964-7-31;F;Setúbal;Especialista do ensino
585;Isaac Machado;1985-10-10;M;Lisboa;Director de serviços especializados
586;Mara Marques;1971-9-13;F;Porto;Trabalhador de outros ofícios
587;Matias Soares;1966-6-25;M;Porto;Agricultor e criador de animais de produção combinada, de subsistência
588;Benjamim Macedo;1956-7-17;M;Faro;Técnico e assistente de veterinários
589;Wilson Reis;1993-4-3;M;Setúbal;Instalador e reparador de equipamento eléctrico
590;Sérgio Magalhães;1989-10-1;M;Porto;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
591;Camila-Yasmin Ferreira;1984-11-11;F;Lisboa;Mecânico e reparador de máquinas e de veículos
592;Rúben da Barros;1951-5-4;M;Porto;Profissional de enfermagem
593;Anita Pinto;1963-6-18;F;Setúbal;Director de produção na agricultura, produção animal, floresta e pesca
594;Fábio Vicente;1981-5-1;M;Lisboa;Trabalhador de outros ofícios
595;Mateus Neves-Rocha;1977-11-16;M;Setúbal;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
596;Leandro Faria;1971-10-9;M;Faro;Mecânico e reparador de máquinas e de veículos
597;Isabela Domingues;1966-11-26;F;Braga;Técnico de nível intermédio da área financeira e matemática
598;Diogo Morais-Lopes;1957-4-9;M;Braga;Operador de máquinas do fabrico de produtos alimentares e similares
599;Santiago Moreira;1990-2-11;M;Setúbal;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
600;Gil Almeida;1992-1-13;M;Faro;Professor dos ensinos básico (1º ciclo) e educador de infância
601;Ivo Gonçalves;1961-8-14;M;Faro;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
602;Fernando Sá;1989-5-17;M;Setúbal;Operador de instalações de transformação e acabamento, de metais
603;Wilson Magalhães;1950-9-27;M;Setúbal;Técnico de operação e controlo de processos industriais
604;Alexandre Coelho;1963-10-2;M;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
605;Nuno Nunes-Loureiro;1958-10-26;M;Braga;Director e gerente do comércio a retalho e por grosso
606;Amélia Santos;1965-3-31;F;Porto;Técnico de nível intermédio da área financeira e matemática
607;Ismael Jesus;1964-12-11;M;Setúbal;Especialista em ciências da vida
608;Alexandre Antunes;1958-3-14;M;Braga;Analista e programador, de software, Web e de aplicações
609;Erika Martins;1974-10-31;F;Lisboa;Especialista em assuntos jurídicos
610;Wilson do Morais;1994-5-25;M;Porto;Pessoal dos serviços de protecção e segurança
611;César Miranda;1979-9-6;M;Setúbal;Trabalhador qualificado da transformação de alimentos
612;Tatiana Anjos-Melo;1951-10-30;F;Faro;Director de serviços especializados
613;Tatiana do Simões;1990-12-17;F;Faro;Director de serviços especializados
614;Teresa Lopes;1965-11-30;F;Porto;Especialista em ciências da vida
615;Filipe do Maia;1960-7-25;M;Porto;Motorista de veículos pesados e de autocarros
616;Leonor Maia;1958-6-26;F;Faro;Trabalhador não qualificado da indústria extractiva e construção
617;Sandro Esteves;1980-2-25;M;Setúbal;Trabalhador dos serviços pessoais
